"subject","trial_speed","mean_accuracy"
"sub-01",0.032,86.6666666666667
"sub-01",0.064,93.3333333333333
"sub-01",0.128,73.3333333333333
"sub-01",0.512,93.3333333333333
"sub-01",2.048,100
"sub-02",0.032,86.6666666666667
"sub-02",0.064,86.6666666666667
"sub-02",0.128,93.3333333333333
"sub-02",0.512,86.6666666666667
"sub-02",2.048,100
"sub-03",0.032,86.6666666666667
"sub-03",0.064,80
"sub-03",0.128,100
"sub-03",0.512,100
"sub-03",2.048,93.3333333333333
"sub-04",0.032,100
"sub-04",0.064,100
"sub-04",0.128,100
"sub-04",0.512,100
"sub-04",2.048,100
"sub-05",0.032,93.3333333333333
"sub-05",0.064,100
"sub-05",0.128,100
"sub-05",0.512,93.3333333333333
"sub-05",2.048,93.3333333333333
"sub-06",0.032,93.3333333333333
"sub-06",0.064,100
"sub-06",0.128,100
"sub-06",0.512,93.3333333333333
"sub-06",2.048,100
"sub-07",0.032,73.3333333333333
"sub-07",0.064,73.3333333333333
"sub-07",0.128,86.6666666666667
"sub-07",0.512,86.6666666666667
"sub-07",2.048,93.3333333333333
"sub-08",0.032,100
"sub-08",0.064,100
"sub-08",0.128,100
"sub-08",0.512,100
"sub-08",2.048,100
"sub-09",0.032,86.6666666666667
"sub-09",0.064,93.3333333333333
"sub-09",0.128,93.3333333333333
"sub-09",0.512,73.3333333333333
"sub-09",2.048,86.6666666666667
"sub-10",0.032,93.3333333333333
"sub-10",0.064,73.3333333333333
"sub-10",0.128,93.3333333333333
"sub-10",0.512,86.6666666666667
"sub-10",2.048,93.3333333333333
"sub-11",0.032,100
"sub-11",0.064,86.6666666666667
"sub-11",0.128,93.3333333333333
"sub-11",0.512,86.6666666666667
"sub-11",2.048,86.6666666666667
"sub-12",0.032,80
"sub-12",0.064,86.6666666666667
"sub-12",0.128,93.3333333333333
"sub-12",0.512,93.3333333333333
"sub-12",2.048,80
"sub-13",0.032,100
"sub-13",0.064,100
"sub-13",0.128,100
"sub-13",0.512,100
"sub-13",2.048,100
"sub-14",0.032,80
"sub-14",0.064,86.6666666666667
"sub-14",0.128,93.3333333333333
"sub-14",0.512,100
"sub-14",2.048,100
"sub-15",0.032,80
"sub-15",0.064,93.3333333333333
"sub-15",0.128,100
"sub-15",0.512,86.6666666666667
"sub-15",2.048,100
"sub-16",0.032,86.6666666666667
"sub-16",0.064,100
"sub-16",0.128,100
"sub-16",0.512,86.6666666666667
"sub-16",2.048,100
"sub-17",0.032,93.3333333333333
"sub-17",0.064,100
"sub-17",0.128,100
"sub-17",0.512,93.3333333333333
"sub-17",2.048,100
"sub-18",0.032,93.3333333333333
"sub-18",0.064,93.3333333333333
"sub-18",0.128,93.3333333333333
"sub-18",0.512,100
"sub-18",2.048,100
"sub-19",0.032,73.3333333333333
"sub-19",0.064,60
"sub-19",0.128,66.6666666666667
"sub-19",0.512,86.6666666666667
"sub-19",2.048,80
"sub-20",0.032,86.6666666666667
"sub-20",0.064,100
"sub-20",0.128,93.3333333333333
"sub-20",0.512,100
"sub-20",2.048,93.3333333333333
"sub-21",0.032,86.6666666666667
"sub-21",0.064,73.3333333333333
"sub-21",0.128,73.3333333333333
"sub-21",0.512,93.3333333333333
"sub-21",2.048,86.6666666666667
"sub-22",0.032,100
"sub-22",0.064,93.3333333333333
"sub-22",0.128,100
"sub-22",0.512,100
"sub-22",2.048,100
"sub-23",0.032,100
"sub-23",0.064,93.3333333333333
"sub-23",0.128,93.3333333333333
"sub-23",0.512,100
"sub-23",2.048,100
"sub-25",0.032,86.6666666666667
"sub-25",0.064,86.6666666666667
"sub-25",0.128,100
"sub-25",0.512,100
"sub-25",2.048,100
"sub-26",0.032,86.6666666666667
"sub-26",0.064,100
"sub-26",0.128,93.3333333333333
"sub-26",0.512,100
"sub-26",2.048,93.3333333333333
"sub-27",0.032,80
"sub-27",0.064,100
"sub-27",0.128,100
"sub-27",0.512,100
"sub-27",2.048,93.3333333333333
"sub-28",0.032,80
"sub-28",0.064,86.6666666666667
"sub-28",0.128,100
"sub-28",0.512,73.3333333333333
"sub-28",2.048,66.6666666666667
"sub-29",0.032,80
"sub-29",0.064,80
"sub-29",0.128,93.3333333333333
"sub-29",0.512,86.6666666666667
"sub-29",2.048,100
"sub-30",0.032,86.6666666666667
"sub-30",0.064,93.3333333333333
"sub-30",0.128,100
"sub-30",0.512,86.6666666666667
"sub-30",2.048,86.6666666666667
"sub-32",0.032,93.3333333333333
"sub-32",0.064,100
"sub-32",0.128,100
"sub-32",0.512,100
"sub-32",2.048,93.3333333333333
"sub-33",0.032,86.6666666666667
"sub-33",0.064,73.3333333333333
"sub-33",0.128,86.6666666666667
"sub-33",0.512,86.6666666666667
"sub-33",2.048,93.3333333333333
"sub-34",0.032,93.3333333333333
"sub-34",0.064,86.6666666666667
"sub-34",0.128,93.3333333333333
"sub-34",0.512,100
"sub-34",2.048,100
"sub-35",0.032,93.3333333333333
"sub-35",0.064,100
"sub-35",0.128,93.3333333333333
"sub-35",0.512,93.3333333333333
"sub-35",2.048,86.6666666666667
"sub-36",0.032,80
"sub-36",0.064,86.6666666666667
"sub-36",0.128,86.6666666666667
"sub-36",0.512,93.3333333333333
"sub-36",2.048,93.3333333333333
"sub-38",0.032,80
"sub-38",0.064,93.3333333333333
"sub-38",0.128,100
"sub-38",0.512,100
"sub-38",2.048,100
"sub-39",0.032,93.3333333333333
"sub-39",0.064,93.3333333333333
"sub-39",0.128,100
"sub-39",0.512,100
"sub-39",2.048,80
