"period","tITI","seq_tr","mean_position","sem_upper","sem_lower"
"backward","0.032",5,3.2037037037037,3.26587740612665,3.14153000128076
"backward","0.032",6,3.27777777777778,3.33606006837128,3.21949548718428
"backward","0.032",7,3.15740740740741,3.22312299242979,3.09169182238502
"backward","0.064",5,3.21111111111111,3.27854060920656,3.14368161301566
"backward","0.064",6,3.23518518518519,3.30915005177278,3.1612203185976
"backward","0.064",7,3.13888888888889,3.20724705962343,3.07053071815435
"backward","0.128",5,3.14259259259259,3.21543620889369,3.06974897629149
"backward","0.128",6,3.29074074074074,3.35449471991746,3.22698676156402
"backward","0.128",7,3.14444444444444,3.21291217909246,3.07597670979643
"backward","0.128",8,2.96111111111111,3.01703843861028,2.90518378361194
"backward","0.512",6,3.45925925925926,3.5192285505058,3.39928996801272
"backward","0.512",7,3.39814814814815,3.47587993097055,3.32041636532575
"backward","0.512",8,3.15,3.21431706074869,3.08568293925131
"backward","0.512",9,3.04444444444444,3.11824287337674,2.97064601551215
"backward","2.048",8,3.21851851851852,3.27935403626497,3.15768300077207
"backward","2.048",9,3.51851851851852,3.57791650428661,3.45912053275043
"backward","2.048",10,3.89259259259259,3.96037571898981,3.82480946619537
"backward","2.048",11,4,4.06313391048048,3.93686608951952
"backward","2.048",12,3.4962962962963,3.56793345987748,3.42465913271511
"backward","2.048",13,2.90185185185185,2.9673164705717,2.83638723313201
"excluded","0.032",1,2.98148148148148,3.04764951679104,2.91531344617192
"excluded","0.032",8,2.96111111111111,3.03239933301354,2.88982288920868
"excluded","0.032",9,2.93333333333333,3.01681996481817,2.8498467018485
"excluded","0.032",10,2.95925925925926,3.01139378730263,2.90712473121589
"excluded","0.032",11,2.95740740740741,3.0207172207944,2.89409759402042
"excluded","0.032",12,3.01111111111111,3.06896819953402,2.9532540226882
"excluded","0.032",13,2.88333333333333,2.9485219756178,2.81814469104886
"excluded","0.064",1,3.05,3.110647592792,2.989352407208
"excluded","0.064",8,2.97222222222222,3.03948804830073,2.90495639614371
"excluded","0.064",9,2.91851851851852,2.98407063632513,2.85296640071191
"excluded","0.064",10,3.08518518518519,3.14555506865126,3.02481530171911
"excluded","0.064",11,2.9462962962963,3.01415960139929,2.8784329911933
"excluded","0.064",12,3.01296296296296,3.08287444362498,2.94305148230094
"excluded","0.064",13,2.94444444444444,3.0172079835823,2.87168090530659
"excluded","0.128",1,3.00185185185185,3.05625164637833,2.94745205732538
"excluded","0.128",9,3.01851851851852,3.08877183246678,2.94826520457026
"excluded","0.128",10,3.05925925925926,3.12073882829945,2.99777969021907
"excluded","0.128",11,2.99814814814815,3.069243687669,2.9270526086273
"excluded","0.128",12,2.93148148148148,3.00302215385219,2.85994080911077
"excluded","0.128",13,2.87962962962963,2.94733682391752,2.81192243534174
"excluded","0.512",1,3.02592592592593,3.09407234872442,2.95777950312743
"excluded","0.512",10,3.01111111111111,3.0704133442064,2.95180887801582
"excluded","0.512",11,2.98703703703704,3.04971222752142,2.92436184655265
"excluded","0.512",12,3.08333333333333,3.14916808986473,3.01749857680193
"excluded","0.512",13,3.02222222222222,3.08771452423227,2.95672992021218
"excluded","2.048",1,3.05740740740741,3.12376397603095,2.99105083878387
"forward","0.032",2,2.95185185185185,3.01546505199007,2.88823865171364
"forward","0.032",3,2.85555555555556,2.93761459568533,2.77349651542578
"forward","0.032",4,3.12777777777778,3.21656243889321,3.03899311666234
"forward","0.064",2,2.92962962962963,2.98954988495155,2.86970937430771
"forward","0.064",3,2.87037037037037,2.95049128624196,2.79024945449878
"forward","0.064",4,3.05925925925926,3.15087527326949,2.96764324524902
"forward","0.128",2,2.87592592592593,2.93906837163348,2.81278348021837
"forward","0.128",3,2.86481481481481,2.95486618604869,2.77476344358094
"forward","0.128",4,2.95925925925926,3.04279985981967,2.87571865869884
"forward","0.512",2,2.86111111111111,2.92656974271535,2.79565247950687
"forward","0.512",3,2.47222222222222,2.54684650157407,2.39759794287037
"forward","0.512",4,2.6037037037037,2.68058949336711,2.5268179140403
"forward","0.512",5,3.09259259259259,3.17507086305798,3.01011432212721
"forward","2.048",2,2.9,2.96465210112513,2.83534789887487
"forward","2.048",3,2.32407407407407,2.40952970641602,2.23861844173213
"forward","2.048",4,1.95740740740741,2.02252988205249,1.89228493276232
"forward","2.048",5,2.20555555555556,2.27840993182146,2.13270117928965
"forward","2.048",6,2.52222222222222,2.57230152441321,2.47214292003123
"forward","2.048",7,2.82592592592593,2.87675869305108,2.77509315880077
