"subject","trial_target_position","mean_accuracy"
"sub-01",1,80
"sub-01",2,60
"sub-01",3,93.3333333333333
"sub-01",4,84
"sub-01",5,100
"sub-02",1,40
"sub-02",2,100
"sub-02",3,93.3333333333333
"sub-02",4,92
"sub-02",5,96
"sub-03",1,100
"sub-03",2,60
"sub-03",3,93.3333333333333
"sub-03",4,96
"sub-03",5,92
"sub-04",1,100
"sub-04",2,100
"sub-04",3,100
"sub-04",4,100
"sub-04",5,100
"sub-05",1,80
"sub-05",2,80
"sub-05",3,100
"sub-05",4,100
"sub-05",5,96
"sub-06",1,80
"sub-06",2,100
"sub-06",3,93.3333333333333
"sub-06",4,100
"sub-06",5,100
"sub-07",1,80
"sub-07",2,80
"sub-07",3,80
"sub-07",4,88
"sub-07",5,80
"sub-08",1,100
"sub-08",2,100
"sub-08",3,100
"sub-08",4,100
"sub-08",5,100
"sub-09",1,60
"sub-09",2,80
"sub-09",3,93.3333333333333
"sub-09",4,80
"sub-09",5,96
"sub-10",1,40
"sub-10",2,100
"sub-10",3,100
"sub-10",4,88
"sub-10",5,88
"sub-11",1,100
"sub-11",2,80
"sub-11",3,80
"sub-11",4,92
"sub-11",5,96
"sub-12",1,80
"sub-12",2,100
"sub-12",3,86.6666666666667
"sub-12",4,80
"sub-12",5,92
"sub-13",1,100
"sub-13",2,100
"sub-13",3,100
"sub-13",4,100
"sub-13",5,100
"sub-14",1,100
"sub-14",2,100
"sub-14",3,86.6666666666667
"sub-14",4,96
"sub-14",5,88
"sub-15",1,80
"sub-15",2,80
"sub-15",3,93.3333333333333
"sub-15",4,100
"sub-15",5,88
"sub-16",1,80
"sub-16",2,100
"sub-16",3,100
"sub-16",4,92
"sub-16",5,96
"sub-17",1,100
"sub-17",2,80
"sub-17",3,100
"sub-17",4,100
"sub-17",5,96
"sub-18",1,60
"sub-18",2,100
"sub-18",3,93.3333333333333
"sub-18",4,100
"sub-18",5,100
"sub-19",1,40
"sub-19",2,60
"sub-19",3,73.3333333333333
"sub-19",4,80
"sub-19",5,76
"sub-20",1,100
"sub-20",2,100
"sub-20",3,93.3333333333333
"sub-20",4,92
"sub-20",5,96
"sub-21",1,80
"sub-21",2,100
"sub-21",3,80
"sub-21",4,80
"sub-21",5,84
"sub-22",1,100
"sub-22",2,100
"sub-22",3,100
"sub-22",4,100
"sub-22",5,96
"sub-23",1,100
"sub-23",2,80
"sub-23",3,93.3333333333333
"sub-23",4,100
"sub-23",5,100
"sub-25",1,100
"sub-25",2,100
"sub-25",3,93.3333333333333
"sub-25",4,96
"sub-25",5,92
"sub-26",1,100
"sub-26",2,80
"sub-26",3,93.3333333333333
"sub-26",4,96
"sub-26",5,96
"sub-27",1,100
"sub-27",2,100
"sub-27",3,93.3333333333333
"sub-27",4,92
"sub-27",5,96
"sub-28",1,60
"sub-28",2,80
"sub-28",3,93.3333333333333
"sub-28",4,84
"sub-28",5,76
"sub-29",1,40
"sub-29",2,80
"sub-29",3,100
"sub-29",4,92
"sub-29",5,88
"sub-30",1,100
"sub-30",2,100
"sub-30",3,93.3333333333333
"sub-30",4,88
"sub-30",5,88
"sub-32",1,100
"sub-32",2,100
"sub-32",3,100
"sub-32",4,96
"sub-32",5,96
"sub-33",1,80
"sub-33",2,80
"sub-33",3,93.3333333333333
"sub-33",4,92
"sub-33",5,76
"sub-34",1,100
"sub-34",2,100
"sub-34",3,93.3333333333333
"sub-34",4,88
"sub-34",5,100
"sub-35",1,100
"sub-35",2,100
"sub-35",3,86.6666666666667
"sub-35",4,92
"sub-35",5,96
"sub-36",1,40
"sub-36",2,100
"sub-36",3,93.3333333333333
"sub-36",4,92
"sub-36",5,88
"sub-38",1,100
"sub-38",2,80
"sub-38",3,100
"sub-38",4,92
"sub-38",5,96
"sub-39",1,80
"sub-39",2,100
"sub-39",3,86.6666666666667
"sub-39",4,96
"sub-39",5,96
