"tITI","period","seq_tr","mean_variable","sem_upper","sem_lower"
"0.032","backward",5,-0.0529629629629629,-0.0338948229295275,-0.0720311029963984
"0.032","backward",6,-0.0881481481481481,-0.0698057047913573,-0.106490591504939
"0.032","backward",7,-0.0233333333333333,-0.00310274026383677,-0.0435639264028299
"0.064","backward",5,-0.0881481481481481,-0.0681920921726799,-0.108104204123616
"0.064","backward",6,-0.0848148148148148,-0.0624586926485106,-0.107170936981119
"0.064","backward",7,-0.0437037037037037,-0.0235693324412668,-0.0638380749661406
"0.128","backward",5,-0.0611111111111111,-0.038747276612653,-0.0834749456095692
"0.128","backward",6,-0.0888888888888889,-0.0693131417372931,-0.108464636040485
"0.128","backward",7,-0.0574074074074074,-0.039473022241704,-0.0753417925731108
"0.128","backward",8,0.0148148148148148,0.0330685836964804,-0.00343895406685079
"0.512","backward",6,-0.175555555555556,-0.154310367284058,-0.196800743827053
"0.512","backward",7,-0.15,-0.127167892899725,-0.172832107100275
"0.512","backward",8,-0.0648148148148148,-0.0410811201633961,-0.0885485094662335
"0.512","backward",9,0.00592592592592592,0.0256842144825359,-0.013832362630684
"2.048","backward",8,-0.0803703703703704,-0.0580184560523047,-0.102722284688436
"2.048","backward",9,-0.204444444444444,-0.181888224265011,-0.227000664623878
"2.048","backward",10,-0.318888888888889,-0.297393636962494,-0.340384140815284
"2.048","backward",11,-0.269259259259259,-0.251129260776271,-0.287389257742247
"2.048","backward",12,-0.160740740740741,-0.140702368771791,-0.18077911270969
"2.048","backward",13,0.00296296296296296,0.0235922933683998,-0.0176663674424739
"0.032","excluded",1,0.00333333333333333,0.0234099063244786,-0.0167432396578119
"0.032","excluded",8,0.00851851851851852,0.0297879517716005,-0.0127509147345635
"0.032","excluded",9,0.0396296296296296,0.0627632335260765,0.0164960257331827
"0.032","excluded",10,0.0111111111111111,0.0312376946532666,-0.0090154724310444
"0.032","excluded",11,0.0166666666666667,0.0361873787709471,-0.00285404543761378
"0.032","excluded",12,0.00814814814814815,0.0256884491579373,-0.00939215286164103
"0.032","excluded",13,0.0251851851851852,0.044285054730731,0.00608531563963937
"0.064","excluded",1,-0.0248148148148148,-0.00496598380403206,-0.0446636458255976
"0.064","excluded",8,0.0222222222222222,0.0478088148312506,-0.0033643703868062
"0.064","excluded",9,0.0492592592592592,0.0707771084233245,0.027741410095194
"0.064","excluded",10,-0.00222222222222222,0.0167347047271828,-0.0211791491716273
"0.064","excluded",11,0.0244444444444444,0.0477966665798133,0.00109222230907557
"0.064","excluded",12,0.0111111111111111,0.0305820680928527,-0.0083598458706305
"0.064","excluded",13,0.0359259259259259,0.0572130414993799,0.014638810352472
"0.128","excluded",1,-0.00148148148148148,0.0182291430738331,-0.0211921060367961
"0.128","excluded",9,-0.00481481481481481,0.0180529688145777,-0.0276825984442073
"0.128","excluded",10,-0.00814814814814815,0.0143847767896229,-0.0306810730859192
"0.128","excluded",11,0.00740740740740741,0.0292029585897553,-0.0143881437749405
"0.128","excluded",12,0.0285185185185185,0.0478997966192818,0.00913724041775524
"0.128","excluded",13,0.0281481481481481,0.0507404805258672,0.00555581577042906
"0.512","excluded",1,-0.01,0.0112642731399244,-0.0312642731399244
"0.512","excluded",10,0.0351851851851852,0.05167121392594,0.0186991564444303
"0.512","excluded",11,-0.000740740740740741,0.0194449541220057,-0.0209264356034871
"0.512","excluded",12,-0.00814814814814815,0.0145718499750215,-0.0308681462713178
"0.512","excluded",13,0.00481481481481481,0.0229940345176114,-0.0133644048879818
"2.048","excluded",1,-0.00851851851851852,0.0114649157339524,-0.0285019527709895
"0.032","forward",2,0.0303703703703704,0.0468945111081304,0.0138462296326103
"0.032","forward",3,0.0637037037037037,0.0860532507589871,0.0413541566484203
"0.032","forward",4,-0.0222222222222222,0.00226547400085954,-0.046709918445304
"0.064","forward",2,0.0133333333333333,0.0321820300682989,-0.00551536340163224
"0.064","forward",3,0.0514814814814815,0.0757849873159404,0.0271779756470225
"0.064","forward",4,-0.0074074074074074,0.0172722370804659,-0.0320870518952807
"0.128","forward",2,0.0277777777777778,0.0452785966046782,0.0102769589508773
"0.128","forward",3,0.0751851851851852,0.0975097291574693,0.052860641212901
"0.128","forward",4,-0.01,0.0150029980565647,-0.0350029980565647
"0.512","forward",2,0.042962962962963,0.0634825702154184,0.0224433557105075
"0.512","forward",3,0.19037037037037,0.21368698485601,0.167053755884731
"0.512","forward",4,0.158148148148148,0.187996218595429,0.128300077700867
"0.512","forward",5,-0.0262962962962963,0.000933141612880165,-0.0535257342054727
"2.048","forward",2,0.0459259259259259,0.0661360701958933,0.0257157816559586
"2.048","forward",3,0.208518518518518,0.227613770541308,0.189423266495729
"2.048","forward",4,0.291481481481481,0.311344524208927,0.271618438754036
"2.048","forward",5,0.281111111111111,0.30169431859525,0.260527903626972
"2.048","forward",6,0.186666666666667,0.210712478322775,0.162620855010558
"2.048","forward",7,0.0681481481481481,0.0896919366416639,0.0466043596546324
