"pattern_1","pattern_2","correlation"
"cat","cat",1
"cat","chair",-0.23
"cat","face",0.02
"cat","house",-0.44
"cat","shoe",-0.33
"chair","cat",-0.23
"chair","chair",1
"chair","face",-0.31
"chair","house",-0.2
"chair","shoe",-0.16
"face","cat",0.02
"face","chair",-0.31
"face","face",1
"face","house",-0.37
"face","shoe",0.29
"house","cat",-0.44
"house","chair",-0.2
"house","face",-0.37
"house","house",1
"house","shoe",-0.15
"shoe","cat",-0.33
"shoe","chair",-0.16
"shoe","face",0.29
"shoe","house",-0.15
"shoe","shoe",1
